,id,title,revenue,budget,revenue_per_budget,genres,production_companies,yearmonthday,yearmonth,year
9,102382,The Amazing Spider-Man 2,708962323,200000000,3.544811615,"Action, Adventure, Science Fiction",Matt Tolmach Productions,20140416,201404,2014
9,102382,The Amazing Spider-Man 2,708962323,200000000,3.544811615,"Action, Adventure, Science Fiction",Arad Productions,20140416,201404,2014
9,102382,The Amazing Spider-Man 2,708962323,200000000,3.544811615,"Action, Adventure, Science Fiction",Marvel Entertainment,20140416,201404,2014
10,177572,Big Hero 6,657870525,165000000,3.987094090909091,"Adventure, Family, Animation, Action, Comedy",Walt Disney Animation Studios,20141024,201410,2014
11,82702,How to Train Your Dragon 2,621537519,145000000,4.286465648275862,"Fantasy, Action, Adventure, Animation, Comedy, Family",DreamWorks Animation,20140605,201406,2014
12,190859,American Sniper,542300000,58800000,9.22278911564626,"War, Action",Warner Bros. Pictures,20141225,201412,2014
12,190859,American Sniper,542300000,58800000,9.22278911564626,"War, Action",Village Roadshow Pictures,20141225,201412,2014
12,190859,American Sniper,542300000,58800000,9.22278911564626,"War, Action",RatPac Entertainment,20141225,201412,2014
12,190859,American Sniper,542300000,58800000,9.22278911564626,"War, Action",Mad Chance,20141225,201412,2014
12,190859,American Sniper,542300000,58800000,9.22278911564626,"War, Action",22nd & Indiana Pictures,20141225,201412,2014
12,190859,American Sniper,542300000,58800000,9.22278911564626,"War, Action",Malpaso Productions,20141225,201412,2014
13,124905,Godzilla,524978362,160000000,3.2811147625,"Action, Drama, Science Fiction",Legendary Pictures,20140514,201405,2014
14,172385,Rio 2,498781117,103000000,4.8425351165048545,"Animation, Adventure, Comedy, Family",Blue Sky Studios,20140319,201403,2014
14,172385,Rio 2,498781117,103000000,4.8425351165048545,"Animation, Adventure, Comedy, Family",20th Century Fox Animation,20140319,201403,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,"Science Fiction, Action, Adventure, Comedy",Nickelodeon Movies,20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,"Science Fiction, Action, Adventure, Comedy",Paramount Pictures,20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,"Science Fiction, Action, Adventure, Comedy",Platinum Dunes,20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,"Science Fiction, Action, Adventure, Comedy",Mirage Studios,20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,"Science Fiction, Action, Adventure, Comedy",Gama Entertainment Partners,20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,"Science Fiction, Action, Adventure, Comedy",Mednick Productions,20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,"Science Fiction, Action, Adventure, Comedy",Heavy Metal,20140807,201408,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,"Animation, Family, Adventure, Comedy, Fantasy",Village Roadshow Pictures,20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,"Animation, Family, Adventure, Comedy, Fantasy",RatPac Entertainment,20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,"Animation, Family, Adventure, Comedy, Fantasy",LEGO,20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,"Animation, Family, Adventure, Comedy, Fantasy",Lin Pictures,20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,"Animation, Family, Adventure, Comedy, Fantasy",Vertigo Entertainment,20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,"Animation, Family, Adventure, Comedy, Fantasy",Warner Animation Group,20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,"Animation, Family, Adventure, Comedy, Fantasy",Animal Logic,20140206,201402,2014
17,240832,Lucy,469058574,40000000,11.72646435,"Action, Science Fiction",EuropaCorp,20140725,201407,2014
17,240832,Lucy,469058574,40000000,11.72646435,"Action, Science Fiction",Canal+,20140725,201407,2014
17,240832,Lucy,469058574,40000000,11.72646435,"Action, Science Fiction",Ciné+,20140725,201407,2014
17,240832,Lucy,469058574,40000000,11.72646435,"Action, Science Fiction",TF1 Films Production,20140725,201407,2014
18,270946,Penguins of Madagascar,373515621,132000000,2.8296637954545454,"Family, Animation, Adventure, Comedy",DreamWorks Animation,20141122,201411,2014
18,270946,Penguins of Madagascar,373515621,132000000,2.8296637954545454,"Family, Animation, Adventure, Comedy",Pacific Data Images,20141122,201411,2014
19,210577,Gone Girl,370890259,61000000,6.080168180327869,"Mystery, Thriller, Drama",20th Century Fox,20141001,201410,2014
19,210577,Gone Girl,370890259,61000000,6.080168180327869,"Mystery, Thriller, Drama",Regency Enterprises,20141001,201410,2014
20,137113,Edge of Tomorrow,370541256,178000000,2.081692449438202,"Action, Science Fiction",RatPac Entertainment,20140527,201405,2014
20,137113,Edge of Tomorrow,370541256,178000000,2.081692449438202,"Action, Science Fiction",Village Roadshow Pictures,20140527,201405,2014
20,137113,Edge of Tomorrow,370541256,178000000,2.081692449438202,"Action, Science Fiction",VIZ Media,20140527,201405,2014
20,137113,Edge of Tomorrow,370541256,178000000,2.081692449438202,"Action, Science Fiction",3 Arts Entertainment,20140527,201405,2014
20,137113,Edge of Tomorrow,370541256,178000000,2.081692449438202,"Action, Science Fiction",Warner Bros. Pictures,20140527,201405,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,"Adventure, Comedy, Fantasy, Family",Moving Picture Company,20141217,201412,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,"Adventure, Comedy, Fantasy, Family",21 Laps Entertainment,20141217,201412,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,"Adventure, Comedy, Fantasy, Family",1492 Pictures,20141217,201412,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,"Adventure, Comedy, Fantasy, Family",TSG Entertainment,20141217,201412,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,"Adventure, Comedy, Fantasy, Family",20th Century Fox,20141217,201412,2014
22,86834,Noah,362600000,125000000,2.9008,"Drama, Adventure",Paramount Pictures,20140307,201403,2014
22,86834,Noah,362600000,125000000,2.9008,"Drama, Adventure",Regency Enterprises,20140307,201403,2014
22,86834,Noah,362600000,125000000,2.9008,"Drama, Adventure",Protozoa Pictures,20140307,201403,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,"Action, Mystery, Science Fiction, Thriller",Ingenious Media,20140910,201409,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,"Action, Mystery, Science Fiction, Thriller",The Gotham Group,20140910,201409,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,"Action, Mystery, Science Fiction, Thriller",Dayday Films,20140910,201409,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,"Action, Mystery, Science Fiction, Thriller",Temple Hill Entertainment,20140910,201409,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,"Action, Mystery, Science Fiction, Thriller",TSG Entertainment,20140910,201409,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,"Action, Mystery, Science Fiction, Thriller",20th Century Fox,20140910,201409,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,"Action, Drama, War",Legendary Pictures,20140305,201403,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,"Action, Drama, War",Hollywood Gang Productions,20140305,201403,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,"Action, Drama, War",Atmosphere Entertainment MM,20140305,201403,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,"Action, Drama, War",Nimar Studios,20140305,201403,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,"Action, Drama, War",Warner Bros. Pictures,20140305,201403,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,"Action, Drama, War",Cruel & Unusual Films,20140305,201403,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,"Crime, Comedy, Action",Columbia Pictures,20140605,201406,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,"Crime, Comedy, Action",Original Film,20140605,201406,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,"Crime, Comedy, Action",MRC,20140605,201406,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,"Crime, Comedy, Action",Metro-Goldwyn-Mayer,20140605,201406,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,"Crime, Comedy, Action",Cannell Studios,20140605,201406,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,"Crime, Comedy, Action",JHF Productions,20140605,201406,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,"Crime, Comedy, Action",33andOut Productions,20140605,201406,2014
26,116149,Paddington,326088587,55000000,5.9288834,"Comedy, Adventure, Family",StudioCanal,20141124,201411,2014
26,116149,Paddington,326088587,55000000,5.9288834,"Comedy, Adventure, Family",Anton Capital Entertainment,20141124,201411,2014
26,116149,Paddington,326088587,55000000,5.9288834,"Comedy, Adventure, Family",Heyday Films,20141124,201411,2014
26,116149,Paddington,326088587,55000000,5.9288834,"Comedy, Adventure, Family",TF1 Films Production,20141124,201411,2014
26,116149,Paddington,326088587,55000000,5.9288834,"Comedy, Adventure, Family",Dimension Films,20141124,201411,2014
27,260346,Taken 3,325800000,48000000,6.7875,"Thriller, Action",EuropaCorp,20141216,201412,2014
27,260346,Taken 3,325800000,48000000,6.7875,"Thriller, Action",20th Century Fox,20141216,201412,2014
27,260346,Taken 3,325800000,48000000,6.7875,"Thriller, Action",M6 Films,20141216,201412,2014
27,260346,Taken 3,325800000,48000000,6.7875,"Thriller, Action",TSG Entertainment,20141216,201412,2014
27,260346,Taken 3,325800000,48000000,6.7875,"Thriller, Action",Meñakoz Films,20141216,201412,2014
28,222935,The Fault in Our Stars,307166834,14000000,21.94048814285714,"Romance, Drama",TSG Entertainment,20140516,201405,2014
28,222935,The Fault in Our Stars,307166834,14000000,21.94048814285714,"Romance, Drama",Fox 2000 Pictures,20140516,201405,2014
28,222935,The Fault in Our Stars,307166834,14000000,21.94048814285714,"Romance, Drama",Temple Hill Entertainment,20140516,201405,2014
29,157350,Divergent,288885818,85000000,3.398656682352941,"Action, Adventure, Science Fiction",Summit Entertainment,20140314,201403,2014
29,157350,Divergent,288885818,85000000,3.398656682352941,"Action, Adventure, Science Fiction",Red Wagon Entertainment,20140314,201403,2014
30,82703,Mr. Peabody & Sherman,272912430,145000000,1.8821546896551724,"Animation, Adventure, Family",Pacific Data Images,20140207,201402,2014
30,82703,Mr. Peabody & Sherman,272912430,145000000,1.8821546896551724,"Animation, Adventure, Family",DreamWorks Animation,20140207,201402,2014
30,82703,Mr. Peabody & Sherman,272912430,145000000,1.8821546896551724,"Animation, Adventure, Family",Bullwinkle Studios,20140207,201402,2014
31,195589,Neighbors,270665134,18000000,15.036951888888888,Comedy,Good Universe,20140508,201405,2014
31,195589,Neighbors,270665134,18000000,15.036951888888888,Comedy,Universal Pictures,20140508,201405,2014
31,195589,Neighbors,270665134,18000000,15.036951888888888,Comedy,Point Grey Pictures,20140508,201405,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,"Adventure, Drama, Action",20th Century Fox,20141203,201412,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,"Adventure, Drama, Action",TSG Entertainment,20141203,201412,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,"Adventure, Drama, Action",Chernin Entertainment,20141203,201412,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,"Adventure, Drama, Action",Babieka Films,20141203,201412,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,"Adventure, Drama, Action",Volcano Films,20141203,201412,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,"Adventure, Drama, Action",Scott Free Productions,20141203,201412,2014
33,250546,Annabelle,257589952,6500000,39.629223384615386,Horror,Atomic Monster,20141001,201410,2014
33,250546,Annabelle,257589952,6500000,39.629223384615386,Horror,New Line Cinema,20141001,201410,2014
33,250546,Annabelle,257589952,6500000,39.629223384615386,Horror,The Safran Company,20141001,201410,2014
33,250546,Annabelle,257589952,6500000,39.629223384615386,Horror,RatPac Entertainment,20141001,201410,2014
34,184315,Hercules,244819862,100000000,2.44819862,"Action, Adventure",Paramount Pictures,20140723,201407,2014
34,184315,Hercules,244819862,100000000,2.44819862,"Action, Adventure",Radical Studios,20140723,201407,2014
34,184315,Hercules,244819862,100000000,2.44819862,"Action, Adventure",Flynn Picture Company,20140723,201407,2014
34,184315,Hercules,244819862,100000000,2.44819862,"Action, Adventure",Metro-Goldwyn-Mayer,20140723,201407,2014
35,97020,RoboCop,242688965,120000000,2.0224080416666665,"Science Fiction, Action, Crime",Metro-Goldwyn-Mayer,20140130,201401,2014
35,97020,RoboCop,242688965,120000000,2.0224080416666665,"Science Fiction, Action, Crime",Columbia Pictures,20140130,201401,2014
35,97020,RoboCop,242688965,120000000,2.0224080416666665,"Science Fiction, Action, Crime",Strike Entertainment,20140130,201401,2014
36,205596,The Imitation Game,233555708,14000000,16.68255057142857,"History, Drama, Thriller, War",Bristol Automotive,20141114,201411,2014
36,205596,The Imitation Game,233555708,14000000,16.68255057142857,"History, Drama, Thriller, War",Black Bear Pictures,20141114,201411,2014
36,205596,The Imitation Game,233555708,14000000,16.68255057142857,"History, Drama, Thriller, War",FilmNation Entertainment,20141114,201411,2014
37,225574,Non-Stop,222809600,50000000,4.456192,"Action, Thriller, Mystery",Silver Pictures,20140226,201402,2014
37,225574,Non-Stop,222809600,50000000,4.456192,"Action, Thriller, Mystery",StudioCanal,20140226,201402,2014
37,225574,Non-Stop,222809600,50000000,4.456192,"Action, Thriller, Mystery",Anton Capital Entertainment,20140226,201402,2014
37,225574,Non-Stop,222809600,50000000,4.456192,"Action, Thriller, Mystery",LOVEFiLM International,20140226,201402,2014
38,49017,Dracula Untold,217124280,70000000,3.1017754285714285,"Horror, Action, Fantasy",Universal Pictures,20141001,201410,2014
38,49017,Dracula Untold,217124280,70000000,3.1017754285714285,"Horror, Action, Fantasy",Legendary Pictures,20141001,201410,2014
38,49017,Dracula Untold,217124280,70000000,3.1017754285714285,"Horror, Action, Fantasy",Michael De Luca Productions,20141001,201410,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,"Action, Adventure, Thriller",Davis Films,20140807,201408,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,"Action, Adventure, Thriller",Ex3 Productions,20140807,201408,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,"Action, Adventure, Thriller",Fipex Holding,20140807,201408,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,"Action, Adventure, Thriller",Lionsgate,20140807,201408,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,"Action, Adventure, Thriller",Millennium Media,20140807,201408,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,"Action, Adventure, Thriller",Nu Image Entertainment,20140807,201408,2014
40,224141,Into the Woods,212902372,50000000,4.25804744,"Fantasy, Comedy",Walt Disney Pictures,20141224,201412,2014
40,224141,Into the Woods,212902372,50000000,4.25804744,"Fantasy, Comedy",Marc Platt Productions,20141224,201412,2014
40,224141,Into the Woods,212902372,50000000,4.25804744,"Fantasy, Comedy",Lucamar Productions,20141224,201412,2014
41,228150,Fury,211817906,68000000,3.114969205882353,"War, Drama, Action",Columbia Pictures,20141015,201410,2014
41,228150,Fury,211817906,68000000,3.114969205882353,"War, Drama, Action",QED International,20141015,201410,2014
41,228150,Fury,211817906,68000000,3.114969205882353,"War, Drama, Action",LStar Capital,20141015,201410,2014
41,228150,Fury,211817906,68000000,3.114969205882353,"War, Drama, Action",Le Grisbi Productions,20141015,201410,2014
41,228150,Fury,211817906,68000000,3.114969205882353,"War, Drama, Action",Crave Films,20141015,201410,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,"Action, Crime, Drama, Thriller",DreamWorks Pictures,20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,"Action, Crime, Drama, Thriller",Reliance Entertainment,20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,"Action, Crime, Drama, Thriller",Bandito Brothers,20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,"Action, Crime, Drama, Thriller",Mark Sourian Productions,20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,"Action, Crime, Drama, Thriller",John Gatins Productions,20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,"Action, Crime, Drama, Thriller",Touchstone Pictures,20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,"Action, Crime, Drama, Thriller",Electronic Arts,20140312,201403,2014
43,193610,The Other Woman,196800000,40000000,4.92,"Comedy, Romance",LBI Productions,20140416,201404,2014
43,193610,The Other Woman,196800000,40000000,4.92,"Comedy, Romance",20th Century Fox,20140416,201404,2014
43,193610,The Other Woman,196800000,40000000,4.92,"Comedy, Romance",TSG Entertainment,20140416,201404,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,"Thriller, Action, Crime",Lonetree Entertainment,20140924,201409,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,"Thriller, Action, Crime",Columbia Pictures,20140924,201409,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,"Thriller, Action, Crime",Village Roadshow Pictures,20140924,201409,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,"Thriller, Action, Crime",Escape Artists,20140924,201409,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,"Thriller, Action, Crime",LStar Capital,20140924,201409,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,"Thriller, Action, Crime",Mace Neufeld Productions,20140924,201409,2014
45,284298,Breakup Buddies,189000000,0,,"Comedy, Romance",Dirty Monkey Productions,20140926,201409,2014
46,119892,The Monkey King,182206924,82000000,2.2220356585365852,"Action, Adventure, Family, Fantasy",Filmko Pictures,20140109,201401,2014
46,119892,The Monkey King,182206924,82000000,2.2220356585365852,"Action, Adventure, Family, Fantasy",Mandarin Films,20140109,201401,2014
46,119892,The Monkey King,182206924,82000000,2.2220356585365852,"Action, Adventure, Family, Fantasy",Beijing Wen Hua Dong Run Investment,20140109,201401,2014
46,119892,The Monkey King,182206924,82000000,2.2220356585365852,"Action, Adventure, Family, Fantasy",China Film Group Corporation,20140109,201401,2014
47,262391,Serial (Bad) Weddings,176404493,13000000,13.569576384615385,Comedy,UGC,20140416,201404,2014
48,120467,The Grand Budapest Hotel,174600318,30000000,5.8200106,"Comedy, Drama",Fox Searchlight Pictures,20140226,201402,2014
48,120467,The Grand Budapest Hotel,174600318,30000000,5.8200106,"Comedy, Drama",Studio Babelsberg,20140226,201402,2014
48,120467,The Grand Budapest Hotel,174600318,30000000,5.8200106,"Comedy, Drama",Indian Paintbrush,20140226,201402,2014
48,120467,The Grand Budapest Hotel,174600318,30000000,5.8200106,"Comedy, Drama",TSG Entertainment,20140226,201402,2014
48,120467,The Grand Budapest Hotel,174600318,30000000,5.8200106,"Comedy, Drama",American Empirical Pictures,20140226,201402,2014
49,100042,Dumb and Dumber To,169837010,40000000,4.24592525,Comedy,New Line Cinema,20141112,201411,2014
49,100042,Dumb and Dumber To,169837010,40000000,4.24592525,Comedy,Universal Pictures,20141112,201411,2014
49,100042,Dumb and Dumber To,169837010,40000000,4.24592525,Comedy,Conundrum Entertainment,20141112,201411,2014
49,100042,Dumb and Dumber To,169837010,40000000,4.24592525,Comedy,Red Granite Pictures,20141112,201411,2014
50,140607,Star Wars: The Force Awakens,2068223624,245000000,8.44172907755102,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,20151215,201512,2015
50,140607,Star Wars: The Force Awakens,2068223624,245000000,8.44172907755102,"Adventure, Action, Science Fiction",Bad Robot,20151215,201512,2015
51,135397,Jurassic World,1671537444,150000000,11.14358296,"Action, Adventure, Science Fiction, Thriller",Amblin Entertainment,20150606,201506,2015
51,135397,Jurassic World,1671537444,150000000,11.14358296,"Action, Adventure, Science Fiction, Thriller",Universal Pictures,20150606,201506,2015
51,135397,Jurassic World,1671537444,150000000,11.14358296,"Action, Adventure, Science Fiction, Thriller",Legendary Pictures,20150606,201506,2015
52,168259,Furious 7,1515400000,190000000,7.975789473684211,"Action, Crime, Thriller",Original Film,20150401,201504,2015
52,168259,Furious 7,1515400000,190000000,7.975789473684211,"Action, Crime, Thriller",One Race,20150401,201504,2015
52,168259,Furious 7,1515400000,190000000,7.975789473684211,"Action, Crime, Thriller",Universal Pictures,20150401,201504,2015
53,99861,Avengers: Age of Ultron,1405403694,365000000,3.8504210794520546,"Action, Adventure, Science Fiction",Marvel Studios,20150422,201504,2015
54,211672,Minions,1159457503,74000000,15.668344635135135,"Family, Animation, Adventure, Comedy",Illumination,20150617,201506,2015
54,211672,Minions,1159457503,74000000,15.668344635135135,"Family, Animation, Adventure, Comedy",Universal Pictures,20150617,201506,2015
55,206647,Spectre,880707597,245000000,3.5947248857142857,"Action, Adventure, Thriller",Metro-Goldwyn-Mayer,20151026,201510,2015
55,206647,Spectre,880707597,245000000,3.5947248857142857,"Action, Adventure, Thriller",Columbia Pictures,20151026,201510,2015
55,206647,Spectre,880707597,245000000,3.5947248857142857,"Action, Adventure, Thriller",EON Productions,20151026,201510,2015
55,206647,Spectre,880707597,245000000,3.5947248857142857,"Action, Adventure, Thriller",B24,20151026,201510,2015
56,150540,Inside Out,857611174,175000000,4.90063528,"Animation, Family, Adventure, Drama, Comedy",Pixar,20150617,201506,2015
57,177677,Mission: Impossible - Rogue Nation,682716636,150000000,4.55144424,"Action, Adventure",Paramount Pictures,20150728,201507,2015
57,177677,Mission: Impossible - Rogue Nation,682716636,150000000,4.55144424,"Action, Adventure",Bad Robot,20150728,201507,2015
57,177677,Mission: Impossible - Rogue Nation,682716636,150000000,4.55144424,"Action, Adventure",Odin,20150728,201507,2015
57,177677,Mission: Impossible - Rogue Nation,682716636,150000000,4.55144424,"Action, Adventure",Skydance Media,20150728,201507,2015
58,131634,The Hunger Games: Mockingjay - Part 2,653428261,160000000,4.08392663125,"Action, Adventure, Science Fiction",Lionsgate,20151118,201511,2015
58,131634,The Hunger Games: Mockingjay - Part 2,653428261,160000000,4.08392663125,"Action, Adventure, Science Fiction",Color Force,20151118,201511,2015
58,131634,The Hunger Games: Mockingjay - Part 2,653428261,160000000,4.08392663125,"Action, Adventure, Science Fiction",Studio Babelsberg,20151118,201511,2015
59,286217,The Martian,631058917,108000000,5.84313812037037,"Drama, Adventure, Science Fiction",Genre Films,20150930,201509,2015
59,286217,The Martian,631058917,108000000,5.84313812037037,"Drama, Adventure, Science Fiction",TSG Entertainment,20150930,201509,2015
59,286217,The Martian,631058917,108000000,5.84313812037037,"Drama, Adventure, Science Fiction",20th Century Fox,20150930,201509,2015
59,286217,The Martian,631058917,108000000,5.84313812037037,"Drama, Adventure, Science Fiction",Scott Free Productions,20150930,201509,2015
60,216015,Fifty Shades of Grey,569651467,40000000,14.241286675,"Drama, Romance, Thriller",Universal Pictures,20150211,201502,2015
60,216015,Fifty Shades of Grey,569651467,40000000,14.241286675,"Drama, Romance, Thriller",Focus Features,20150211,201502,2015
60,216015,Fifty Shades of Grey,569651467,40000000,14.241286675,"Drama, Romance, Thriller",Michael De Luca Productions,20150211,201502,2015
60,216015,Fifty Shades of Grey,569651467,40000000,14.241286675,"Drama, Romance, Thriller",Trigger Street Productions,20150211,201502,2015
